Header:
v=0.500000
T=0.354797
zeta=1.000000
Body:
x_b,dx_b,y_b,dy_b,theta_b,dtheta_b,x_f,dx_f,y_f,dy_f,theta_f,dtheta_f,u_x,u_y,u_theta,t
-0.063750,0.409438,0.247125,-0.763128,0.699744,3.958166,0.000000,1.255942,0.000223,-0.672954,0.004456,4.988159,-2.294746,0.290540,-3.216248,0.000000
-0.062270,0.407264,0.244371,-0.795524,0.709723,-5.257632,0.004229,1.256779,-0.002042,-0.690517,0.033209,50.036382,0.722084,1.391670,-2.208951,0.003548
-0.060736,0.413652,0.241524,-0.824796,0.711685,-11.043166,0.008011,1.195024,-0.004066,-0.665933,0.083770,75.899946,3.738915,2.492800,-1.201654,0.007096
-0.059148,0.428602,0.238585,-0.850944,0.705629,-13.398436,0.011346,1.070678,-0.005849,-0.599202,0.156139,82.578853,6.755746,3.593930,-0.194358,0.010644
-0.057507,0.452112,0.235553,-0.873966,0.691556,-12.323442,0.014234,0.883740,-0.007389,-0.490323,0.250317,70.073102,9.772577,4.695060,0.812939,0.014192
-0.055811,0.484184,0.232429,-0.893864,0.669465,-7.818190,0.016674,0.634193,-0.008689,-0.338523,0.366302,38.386584,12.789408,5.796190,1.820236,0.017740
-0.054058,0.517210,0.229232,-0.911398,0.647060,-2.265978,0.018657,0.380131,-0.009830,-0.194299,0.469908,1.828934,10.518550,6.368017,1.446956,0.021288
-0.052241,0.543249,0.225983,-0.927363,0.632382,1.844935,0.020174,0.182156,-0.010898,-0.108154,0.525444,-24.648946,7.859630,6.900999,0.972356,0.024836
-0.050362,0.561742,0.222683,-0.941817,0.625998,4.339638,0.021223,0.044529,-0.011900,-0.083628,0.530400,-39.996047,5.200711,7.433981,0.497756,0.028384
-0.048420,0.572690,0.219332,-0.954757,0.627907,5.218132,0.021804,-0.032751,-0.012836,-0.120722,0.484776,-44.212369,2.541792,7.966963,0.023156,0.031932
-0.046414,0.576092,0.215931,-0.966185,0.638108,4.480414,0.021918,-0.049870,-0.013705,-0.218778,0.388572,-37.261868,-0.117127,8.499945,-0.451443,0.035480
